starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 09 07:22:44 2011	1318141364	0	8	8	7
Sun Oct 09 07:22:34 2011	1318141354	0	8	8	7
Sun Oct 09 07:22:47 2011	1318141367	0	8	8	7
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	7
Sun Oct 09 07:22:35 2011	1318141355	0	8	8	7
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	7
Sun Oct 09 07:22:37 2011	1318141357	0	8	8	7
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	7
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	7
Sun Oct 09 07:22:45 2011	1318141365	0	8	8	7
Sun Oct 09 07:22:47 2011	1318141367	0	8	8	7
Sun Oct 09 07:22:40 2011	1318141360	0	8	8	7
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	7
Sun Oct 09 07:22:45 2011	1318141365	0	8	8	7
Sun Oct 09 07:22:47 2011	1318141367	0	8	8	7
Sun Oct 09 07:22:41 2011	1318141361	0	8	8	8
Sun Oct 09 07:22:40 2011	1318141360	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:49 2011	1318141369	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	7
Sun Oct 09 07:22:47 2011	1318141367	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:48 2011	1318141368	0	8	8	8
Sun Oct 09 07:22:47 2011	1318141367	0	8	8	8
Sun Oct 09 07:22:49 2011	1318141369	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:48 2011	1318141368	0	8	8	8
Sun Oct 09 07:22:35 2011	1318141355	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:34 2011	1318141354	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:35 2011	1318141355	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:37 2011	1318141357	0	8	8	8
Sun Oct 09 07:22:34 2011	1318141354	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:34 2011	1318141354	0	8	8	8
Sun Oct 09 07:22:44 2011	1318141364	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	7
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:34 2011	1318141354	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:41 2011	1318141361	0	8	8	8
Sun Oct 09 07:22:40 2011	1318141360	0	8	8	8
Sun Oct 09 07:22:48 2011	1318141368	0	8	8	8
Sun Oct 09 07:22:34 2011	1318141354	0	8	8	8
Sun Oct 09 07:22:45 2011	1318141365	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:44 2011	1318141364	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:45 2011	1318141365	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:34 2011	1318141354	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:44 2011	1318141364	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:49 2011	1318141369	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:37 2011	1318141357	0	8	8	8
Sun Oct 09 07:22:34 2011	1318141354	0	8	8	8
Sun Oct 09 07:22:49 2011	1318141369	0	8	8	8
Sun Oct 09 07:22:48 2011	1318141368	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:40 2011	1318141360	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:45 2011	1318141365	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:47 2011	1318141367	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:49 2011	1318141369	0	8	8	8
Sun Oct 09 07:22:40 2011	1318141360	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	8	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	8	8
Sun Oct 09 07:22:40 2011	1318141360	0	8	9	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	9	8
Sun Oct 09 07:22:36 2011	1318141356	0	8	9	8
Sun Oct 09 07:22:39 2011	1318141359	0	8	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	9	8
Sun Oct 09 07:22:40 2011	1318141360	0	8	9	8
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	8
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	8
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	8
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	8	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:44 2011	1318141364	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	8	9	8
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:37 2011	1318141357	0	9	9	8
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	8
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	8
Sun Oct 09 07:22:46 2011	1318141366	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	8
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	8
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	8
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	8
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	8
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	8
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	8
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	8
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	8
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	8
Sun Oct 09 07:22:44 2011	1318141364	0	9	9	8
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	8
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	8
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	8
Sun Oct 09 07:22:44 2011	1318141364	0	9	9	8
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	8
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	8
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	8
Sun Oct 09 07:22:44 2011	1318141364	0	9	9	8
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	8
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	8
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	8
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	9
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	8
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	9
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:37 2011	1318141357	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	8
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	8
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:37 2011	1318141357	0	9	9	8
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	9
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	9
Sun Oct 09 07:22:44 2011	1318141364	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:42 2011	1318141362	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:44 2011	1318141364	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:44 2011	1318141364	0	9	9	9
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:47 2011	1318141367	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:37 2011	1318141357	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:35 2011	1318141355	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:46 2011	1318141366	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:39 2011	1318141359	0	9	9	9
Sun Oct 09 07:22:42 2011	1318141362	0	9	9	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	9	9
Sun Oct 09 07:22:37 2011	1318141357	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	9	9
Sun Oct 09 07:22:46 2011	1318141366	0	9	9	9
Sun Oct 09 07:22:37 2011	1318141357	0	9	9	9
Sun Oct 09 07:22:37 2011	1318141357	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	9	9
Sun Oct 09 07:22:44 2011	1318141364	0	9	9	9
Sun Oct 09 07:22:42 2011	1318141362	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:49 2011	1318141369	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:46 2011	1318141366	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	9	9
Sun Oct 09 07:22:45 2011	1318141365	0	9	9	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	10	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	10	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	10	9
Sun Oct 09 07:22:41 2011	1318141361	0	9	10	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	10	9
Sun Oct 09 07:22:49 2011	1318141369	0	9	10	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	10	9
Sun Oct 09 07:22:48 2011	1318141368	0	9	10	9
Sun Oct 09 07:22:36 2011	1318141356	0	9	10	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	10	9
Sun Oct 09 07:22:34 2011	1318141354	0	9	10	9
Sun Oct 09 07:22:40 2011	1318141360	0	9	10	9
Sun Oct 09 07:22:38 2011	1318141358	0	9	10	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	10	9
Sun Oct 09 07:22:40 2011	1318141360	0	10	10	9
Sun Oct 09 07:22:48 2011	1318141368	0	10	10	9
Sun Oct 09 07:22:47 2011	1318141367	0	10	10	9
Sun Oct 09 07:22:37 2011	1318141357	0	10	10	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	10	9
Sun Oct 09 07:22:35 2011	1318141355	0	10	10	9
Sun Oct 09 07:22:49 2011	1318141369	0	9	10	9
Sun Oct 09 07:22:43 2011	1318141363	0	10	10	9
Sun Oct 09 07:22:43 2011	1318141363	0	9	10	9
Sun Oct 09 07:22:47 2011	1318141367	0	10	10	9
Sun Oct 09 07:22:39 2011	1318141359	0	10	10	9
Sun Oct 09 07:22:45 2011	1318141365	0	10	10	9
